plate,review_reason_code,customer_meaning,reviewer_comments,status,our decision,notes
MERDRRD,2,BLACKED OUT,"MURDERED, HOSTILE",N,Y,Approved
NAKMOWT,2,KNOCK THEM OUT,"LOOKS SIMILAR TO KNOCK HIM OUT, HOSTILE",N,Y,Approved
NUTFIG,1,FOOD HEALTHY,"NUT, SEXUAL REFERENCE",N,Y,Approved
OFFMYA5,1,MY NICKNAME,OFF MY ASS,N,Y,Approved
OGYSRUL,2,OLD GUYS RULE,"OG'S RULE, GANG REFERENCE",N,Y,Approved
OG32,2,ORIGINAL GREEN 1932 FORD COUPE,"OG, GANG REFERENCE (No 32 Year Vehicle)",N,Y,Approved
OMGFOFF,3,LEAVE ME ALONE,OMG FUCK OFF,N,Y,Approved
PB 32 G,2,PB 32 G,"G, GANG REFERENCE",Y,N,invalid characters
PENSFN,3,PITTSBURGH PENGUINS HOCKEY FAN,FN CAN STAND FOR FUCKING,Y,N,"[('penis', 88.88888888888889, 101)]"
PSYONRA,1,GOODBYE,"PSY COULD STAND FOR PUSSY, SEXUAL REFERENCE",N,Y,Approved
PSYWTR,1,I INSTALL RESIDENTIAL WATER PURIFICATION SYSTEMS FOR A LIVING.  THE LETTERS ON THE LICENSE PLATE COINCIDE WITH THE NAME AND OPERATIONS OF MY BUSINESS,"PSY COULD STAND FOR PUSSY, SEXUAL REFERENCE",N,Y,Approved
RAREM13,2,MY CAR ONLY HAS 500 MADE. ITS A MOPAR AND YEAR IS 2013,"13, GANG REFERENCE (No 2013 on record)",N,Y,Approved
REDSPRT,2,MY CAR'S MODEL NAME. INFINITI Q50 REDSPORT. THAT'S WHERE THE NAME COMES FROM.,"RED, GANG REFERENCE",Y,N,"[('redskin', 90.0, 1301)]"
REDSTON,2,BUSINESS NAME,"RED, GANG REFERENCE",Y,N,"[('redskin', 90.0, 1301)]"
RONG88,2,RONG IS MY FIRST NAME. 88 MEANS LUCKY,"88, GANG REFERENCE",N,Y,Approved
SRTKILR,2,OWNERS NAME AND CAR YEAR,"KILLER, HOSTILE",N,Y,Approved
STIEVIL,1,STI IS FOR THE MODEL EVIL IS JUST CLEVER,STI CAN STAND FOR SEXUALLY TRANSMITTED INFECTION,Y,N,"[('devil', 88.88888888888889, 327)]"
STIKIDD,1,STI IS THE MODEL OF THE CAR THAT I OWN . AND KIDD IS BECAUSE I HAVE A YOUNG FACE SO EVERYONE CALLS ME A KID - A YOUNG PERSON,STI CAN STAND FOR SEXUALLY TRANSMITTED INFECTION,Y,N,kid
S55S55S,6,I AM ALAW ENFORCEMENT OFFICER AND HAVE ALWAYS THOUGHT IT WOULD BE FUNNY TO SEE A PLATE OF THIS CONFIGURATION. I WOULD LIKE TO GET THE OPPOSITE OF THIS FOR MY SECOND VEHICLE,THE LETTERS AND NUMBERS ALL LOOK ALIKE,N,Y,Approved
TEE18,2,"MY NAME IS TAYLOR AND MY NICKNAME IS ""TEE"". THE NUMBER 18 WAS MY COLLEGE JERSEY NUMBER.","18, GANG REFERENCE",N,Y,Approved
TRD RACR,3,TOYOTA RACING DEVELOPMENT,"TRD IS SIMILAR TO TURD, OBSCENE (Has Toyota PU)",Y,N,invalid length
TRMNA8R,2,MEAN TERMINATOR,TERMINATOR COULD BE CONSIDERED HOSTILE,N,Y,Approved
UCANGFY,3,YOU CAN GOD FORGIVES YOU,"""YOU CAN GO FUCK YOURSELF""",N,Y,Approved
UGO2SLW,2,YOU GO TO SLOW,"YOU, COULD BE CONSIDERED HOSTILE",N,Y,Approved
WDOM8KR,2,"WANT TO PUT IT ON A PORSCHE GT2RS, NICKNAMED THE WIDOWMAKER","WIDDOW MAKER, COULD BE CONSIDERED HOSTILE (Can't see cars on record)",N,Y,Approved
XYXKXKX,6,DESIGN,ALL THE LETTERS LOOK THE SAME,N,Y,Approved
1TRMN8R,2,NICKNAME FOR MY CAR,TERMINATOR COULD BE CONSIDERED HOSTILE,N,Y,Approved
13COR13,2,FAITH HOPE LOVE,"13, GANG REFERENCE",N,Y,Approved
14O8SAV,2,LIFE,"AREA CODE, THE PLATE READS ONE 408 SAVAGE",N,Y,Approved
18HOLEZ,2,GOLFING 18 HOLES,"18, GANG REFERENCE",Y,N,ho
18JCB27,2,18= MY FATHER WAS BORN IN 1918 JCB- MY INITIALS 27= MY MOTHER WAS BORN IN 1927,"18, GANG REFERENCE",N,Y,Approved
4MYWOOD,1,I AM A WOOD CRAFTSMAN/BUILDER.  I HAVE A DECOR BUSINESS AND MAKE FINE WOOD FURNISHINGS.,WOOD CAN BE ANOTHER WORD FOR PENIS,N,Y,Approved
5O TH SS,5,50 ANNIVERSARY. SUPER SPORT,"5O, LAW ENFORCEMENT REFERENCE",Y,N,invalid length
5OTH 2SS,5,50TH ANNIVERSARY EDITION SS CAMARO,"5O, LAW ENFORCEMENT REFERENCE (No Camero on record)",Y,N,invalid length
5SS5SS5,6,I AM ALAW ENFORCEMENT OFFICER AND HAVE ALWAYS THOUGHT IT WOULD BE FUNNY TO SEE A PLATE OF THIS CONFIGURATION. I WOULD LIKE TO GET THE OPPOSITE OF THIS FOR MY SECOND VEHICLE,THE LETTERS AND NUMBERS ALL LOOK ALIKE,N,Y,Approved
52WILLE,1,1952 JEEP WILLIE WAGON. IT'S A CLASSIC ANTIQUE.,WILLY CAN BE ANOTHER WORD FOR PENIS (Has 52 Willy),Y,N,"[('willie', 83.33333333333334, 891)]"
66ONE,2,661,AREA CODE,N,Y,Approved
67 DUB,7D,1967 VW BUG,DUB CAN BE A DRUG REFERENCE TO MARIJUANA (Has 67 VW),Y,N,invalid characters
69ACE79,1,BIRTH DATES AND FIRST INTIALS,"69, SEXUAL REFERENCE",N,Y,Approved
69TIMEM,1,"MY VAN IS A 1969 FORD ECONOLINE CUSTOM, A TIME MACHINE BACK TO A SIMPLER ERA","69, SEXUAL REFERENCE (NO 69 on record)",N,Y,Approved
714G,2,AREA CODE OF BIRTH AND FIRST INITIAL OF GRAND DAUGHTERS LAST NAME,"G, GANG REFERENCE",N,Y,Approved
8AMG8,2,LUCKY NUMBERS AND CAR MODEL,"88, GANG REFERENCE",N,Y,Approved
88 TLC,2,"MY TRUCK IS A 1988 TOYOTA LAND CRUISER, OR ""88 TLC""","88, GANG REFERENCE (Has 88 Toyota)",Y,N,invalid characters
LUVCCC,1,PETS INITIALS,"TRIPLE C OR CCC, IS A DRUG REFERENCE",N,Y,Approved
DUBGRL,7D,WARRIOR'S FAN/BASKETBALL,DUB CAN BE A DRUG REFERENCE TO MARIJUANA,Y,N,"[('tubgirl', 83.33333333333334, 160)]"
GCUBS,2,GO CUBS,"G, GANG REFERENCE",Y,N,"[('gub', 85.71428571428572, 1441)]"
LIV$BCH,3,LIVE LOVE THE BEACH,BCH CAN STAND FOR BITCH,Y,N,invalid characters
PRNSTI,1,I AM A PACU NURSE AND I DRIVE AN STI SUBARU. POST ANESTHESIA CARE UNIT IS MY SPECIALTY,PRN IS SIMILAR TO PORN AND STI CAN STAND FOR SEXUALLY TRANDMITTED INFECTION,N,Y,Approved
J BENZ,7D,JILLS MERCE BENZ,J COULD STAND FOR JOINT,Y,N,invalid characters
PMONEE,1,P MONEY,THE P COULD STAND FOR PUSSY,N,Y,Approved
88DIAZ,2,YEAR MARRIED,"88, GANG REFERENCE",N,Y,Approved
BABYBUN,1,"I LOVE BUNNIES! EVERYONE KNOWS I AM OBSESSED WITH BUNNIES, AND THIS DEFINITELY REPRESENTS ME.",BUN IS ANOTHER WORD FOR BUTT,Y,N,contains the restricted letter combinationBUN
GCUEVA,2,FIRST INITIAL AND LAST NAME,"G, GANG REFERENCE",N,Y,Approved
LEIDOUT,2,LOW TO THE GROUND ALSO MY NICKNAME,COULD BE CONSIDERED HOSTILE,N,Y,Approved
MY2CNTS,3,MY OPINION,"CNTS COULD BE SHORT FOR CUNTS, PROFANITY",Y,N,cnt
OOUUOOO,6,I LIKE NUMBER O,THE LETTERS ALL LOOK ALIKE,N,Y,Approved
PULNPSY,1,TOW VEHICLE FOR PSY COVER BAND,"PULLING PUSSY, SEXUAL REFERENCE",N,Y,Approved
RAREAF,3,MY CAR IS VERY RARE SO THIS SIGNIFIES THAT. AF IS FOR AUTOFASHION WHICH IS A LOCAL CAR CLUB,AF CAN STAND FOR AS FUCK,N,Y,Approved
STR8KLA,2,STRAIT KILLA,"KILLA, HOSTILE",N,Y,Approved
SVGAF,3,SAM VANNESSA FRANK ALWAYS FOREVER,AF CAN STAND FOR AS FUCK,N,Y,Approved
WINEBOX,1,"WE LIKE WINE, THE VEHICLE IS SHAPED LIKE A BOX",BOX CAN BE A WORD FOR FOR VAGINA,N,Y,Approved
WWIZYD,1,WHAT WOULD IZZY DO?,THE D COULD STAND FOR DICK,N,Y,Approved
KPHATEN,2,KEEP HATING,"HATEN, HOSTILE",N,Y,Approved
HUSTLE4,2,REG 17 ISN'T FILLED OUT,HUSTLE=Slang. to earn one's living by illicit or unethical means,Y,N,"[('hustler', 85.71428571428572, 492)]"
KMIKZE1,2,NICKNAME,kamikaze was a suicide crash attack done by Japanese pilots in WWII. Means a suicidal action. Also a lovely coctail.,N,Y,Approved
OMG VETT,2,NOTHING ON QUICKWEB,"HAS HONDA, NO CORVETTE ON ANI. OH MY GOD VETERAN?",Y,N,invalid length
4KITTYB,1,NICKNAME,"KITTY=PUSSY, CUSTOMER IS KATRINA JIMENEZ",N,Y,Approved
BLAZE66,7D,MY NICKNAME AND BIRTH DATE,BLAZE CAN HAVE A DRUG CONNOTATION,N,Y,Approved
BNEHEAD,2,nickname,BONEHEAD=A STUPID PERSON. WIKIPEDIA SAYS IT IS ALSO A DEROGATORY TERM FOR BOTH A WHITE SOUTH AFRICAN OR A 'WHITE POWER SKINHEAD' I FOUND A COUPLE SIMILAR WITH EXPIRED RECORDS,Y,N,"[('raghead', 90.0, 117)]"
BOOOOBA,1,MY HUSBANDS NICKNAME FOR THE PAST 20 YEARS,PULLED FOR BOOB,N,Y,Approved
D M N,3,INITIALS,LOOKS LIKE 'DAMN' BUT IT IS HIS INITIALS,Y,N,invalid characters
JUNHO82,1,NAME AND BIRTH,"PULLED FOR 'HO' BUT CUSTOMER FIRST NAME IS JOONHO, ONE WORD. OK?",Y,N,ho
LOWSTDS,2,LOW STANDARDS,STD=SEXUALLY TRANSMITTED DISEASE,N,Y,Approved
NUTNICE,1,DH2K115,NUT CAN HAVE SEXUAL CONNOTATIONS,N,Y,Approved
OHYAYOU,7D,OH YA YOU,"OH YAYU, LIKE YAYO (COCAINE)",N,Y,Approved
PPLOPEZ,2,MY DOG,"peepee, urine",N,Y,Approved
RED ONE,2,NO MEANING WRITTEN ON REG 17,RED=GANG COLOR,Y,N,invalid characters
RED  X,2,CAR NAME,RED=GANG COLOR,Y,N,invalid characters
R8DRS88,2,IM A DOCTOR,"88=hate symbol, no 1988 car on ani",N,Y,Approved
TAVRA69,1,LASTNAME AND YEAR,"69=sexual, no 1969 car on ani",N,Y,Approved
18CPO93,2,"1893 IS THE YEAR OF THE NAVY CHIEF PETTY OFFICER, WHICH IS WHAT CPO STANDS FOR.",18=HATE SYMBOL,N,Y,Approved
BUD1956,7D,NOT ON QUICKWEB,"BUD CAN MEAN MARIJUANA, NOT HIS NAME",N,Y,Approved
325$G,2,BIRTH DATE LOVES PET NAME,G=GANGSTER,Y,N,invalid characters
M24OMG,2,MY NUMBERS FROM MARINE CORPS CAREER,"M24 IS A SNIPER RIFLE, THIS IS A VET PLATE (M24 OH MY GOD)",N,Y,Approved
G GLASS,2,NO MEANING WRITTEN ON REG 17,g=gangster,Y,N,invalid characters
JERSEYG,2,JERSEY GENNARO,JERSEY GANGSTER. LAST NAME STARTS WITH A 'G',N,Y,Approved
7JOYL88,2,JOCELYN LOVE MOM,88=HATE SYMBOL,N,Y,Approved
DVS BLUE,2,FAVORITE COLOR AND MEANINGFUL INITIALS,BLUE=GANG COLOR,Y,N,invalid length
BOSSCAT,1,BOSS 429 COUGAR,PULLED FOR CAT (1969 MERCURY ON ANI),Y,N,scat
CABRL14,2,LAST NAME AND DATE OF BIRTH,14 = GANG NUMBER,N,Y,Approved
CBOYZ88,2,COWBOYS 88,88 = HATE NUMBER,N,Y,Approved
DCBZ TX,3,DALLAS COWBOYS TEXAS,"BZ, BEEZY = BITCH",Y,N,invalid characters
ELE 1O14,2,MOTHER'S BIRTHDAY AND INITIALS,14 = GANG NUMBER,Y,N,invalid length
JDGRNDG,1,JACK DREES GRINDING,PULLED FOR GRINDING,N,Y,Approved
LNGXBCH,3,LONG BEACH,BCH CAN BE SHORT FOR BITCH,,Y,Approved
LV 2 RID,1,LIVE TO RIDE,COULD HAVE SEXUAL CONNOTATION,Y,N,invalid length
M3JWP13,2,CAR NAME AND INITIALS,13 = GANG NUMBER,N,Y,Approved
PHATT 5O,5,NICE LOOKING 1950 TRUCK,PULLED FOR 5O,Y,N,invalid length
PUTOMAS,2,MY NEPHEW TRIES TO SAY PLUTO THE DISNEY DOG BUY CANT PRONOUNCE L YET. AND HE LOVES CHRIATMAS BUT CALLS IT MAS,PULLED FOR PUTO,N,Y,Approved
SLUMRCN,2,SLUMERICAN,"SLUMERICAN, OFFENSIVE?",N,Y,Approved
SOUL WNR,1,SOUL WINNER,WNR COULD BE TAKEN AS WEINER,Y,N,invalid length
SUKI214,2,SUKI IS PET'S NAME,14 = GANG NUMBER,Y,N,contains the restricted letter combinationSUK
TACO4CP,1,TACOMA FOR CHRISTIAN PARK,PULLED FOR TACO,N,Y,Approved
VANRKY1,2,VW VAN AND ANARCHY,"ANARCHY, HOSTILE",Y,N,ky
1371 ENG,2,MARINE CORPS UNIT NUMBER: 1371 MOS: COMBAT ENGINEER (ENG),13 = GANG NUMBER,Y,N,invalid length
6872 V14,2,"BIRTH YEARS FOR ME, WIFE, DAUGHTER",14 = GANG NUMBER,Y,N,invalid length
7MENDO7,2,MENDO 707,707 = AREA CODE,N,Y,Approved
8BCHBUM,3,A BEACH BUM,BCH CAN BE SHORT FOR BITCH,Y,N,bbc
93OO5A2,6,NON,LOOK ALIKE,N,Y,Approved
C8H18 X,2,CHEMICAL COMPOSITION OF OCTANE,18 = GANG NUMBER,Y,N,invalid characters
CBRNCTA,3,NICKNAME,PULLED FOR CABRON,N,Y,Approved
GLFATIK,7D,NO MEANING ON REG 17,ATIK = ADDICT,Y,N,contains the restricted letter combinationFAT
PAQNLOW,1,PRO BOXER NICKNAME,PACKIN' LOW?,N,Y,Approved
PDS8888,2,P-PASTOR D-DIAZ S-SANCHEZ 8888-MY LUCKY FAVORITE NUMBERS,88 = HATE NUMBER,N,Y,Approved
RICH569,1,NAME AND BIRTHDAY,PULLED FOR 69 (NO 1969 ON ANI),N,Y,Approved
TMGLIFE,1,MY LIFESTYLE,TMG = TAKE MANS GASH (GIRL),Y,N,"[('lowlife', 90.0, 588)]"
AHHH RUN,2,NICKNAME: PRONOUNCED ARRON,THREATENING (NAME ISNT AARON),Y,N,invalid length
BOBBYBM,2,BOBBY BOOM - A NICKNAME,BM=BOWEL MOVEMENT… BOOM=EXPLOSION,N,Y,Approved
FOTO4KA,3,IM A PHOTOGRAPHER AND IT MEANS PHOTO,4KA=FUCKER (NOT CUSTOMER INITIALS),N,Y,Approved
GATO814,1,IT WAS MY SONS NICKNAME AND THE MONTH AND DAY THAT HE PAST AWAY,"gato=cat, has truck not cat car",Y,N,contains the restricted letter combinationGAT
IDAREYU,2,I DARE YU,BECAUSE OF THE 'YOU'.. TAUNTING,N,Y,Approved
PSLM713,2,PSALMS 713 THE HOLY BIBLE,"PSALMS 7:13=He has prepared his deadly weapons; he makes ready his flaming arrows. PSALMS 71:3 Be my rock of safety where I can always hide. Give the order to save me, for you are my rock and my fortress. (First one sounds questionable)",N,Y,Approved
RUHIIAM,7D,LIFTED TRUCK,ARE YOU HIGH? I AM.,N,Y,Approved
362 RED1,2,FIRST CAR/CURRENT CAR,RED=GANG COLOR,Y,N,invalid length
51ODANY,2,the car serial number and my son's name,"510 IS A BAY AREA AREA CODE, CUSTOMER IS IN SANTA ROSA. 510 IS A DATSUN/NISSAN MODEL, CUSTOMER HAS A NISSAN",Y,N,"[('sod', 85.71428571428572, 1378)]"
64ADE88,2,BIRTH YEAR - 64 FIRST THREE LETTERS OF LAST NAME -ADE YEAR ARRIVED AMERICA - 88,88=HATE SYMBOL,N,Y,Approved
BDUB88,2,NICKNAME/ BIRTH YEAR,88=HATE SYMBOL,N,Y,Approved
KFHBLKD,2,FAMILY NICKNAME MINE 3 WIFES KLINGON FOR HIRE,KFH=KILLER FOR HIRE,N,Y,Approved
GNJ14,2,GABRIEL AND JANUARY 14. OUR WEDDING YEAR AND INITIALS,14=HATE SYMBOL,N,Y,Approved
HALLYEA,3,MY FRIENDS CALL ME HALLY AND I AM A PART TIME ECONOMIC ADVISOR (EA),"hell yeah, CUSTOMER LAST NAME IS HALL",N,Y,Approved
GCS13,2,GLASCOW COMA SCALE,"13, GANG REFERENCE",N,Y,Approved
AK47S84,2,7UQG883,"AK47, WEAPON REFERENCE",N,Y,Approved
ALLHUSL,2,WORK HARD FOR EVERYTHING YOU WANT IN LIFE .,HUSTLE IS A TERM THAT IS USED BY DRUG DEALERS AND GANG MEMBERS A LOT,Y,N,"[('allah', 88.88888888888889, 187)]"
BEEZ5OO,3,EVERBODY CALLS MY WIFE B AND THE CAR IS A 500 SL MERCEDES,"""BEEZY"" ANOTHER WORD FOR BITCH",N,Y,Approved
BLHWK88,2,CHICAGO BLACKHAWKS HOCKEY PLAYER #88 P. KANE,"88, GANG REFERENCE",N,Y,Approved
BLKNWET,1,MY CAR IS BLK IN COLOR AND WET IS A TERM MEANING GOOD LOOKING DO TO RIMS WHICH COMPLIMENT THE CAR WELL.,WET COULD BE CONSIDERED A SEXUAL REFERENCE,N,Y,Approved
BLOJP,1,BYRON LOPEZ JEEP,LOOKS LIKE BLOW JP WHICH COULD BE CONSIDERED SEXUAL,N,Y,Approved
BOXBOI,1,BOXING BOY,BOX CAN BE A WORD FOR VAGINA,N,Y,Approved
BROCKLI,7D,MY NAME IS BROCK AND BROCKLI (BROCCOLI) IS MY NICKNAME.,BROCOLLI CAN BE ANOTHER WORD FOR MARIJUNA,N,Y,Approved
BUD3O,7D,MY NICK NAME AND JERSEY NUMBER FROM HIGH SCHOOL FOOTBALL,BUD COULD BE A REFERENCE TO MARIJUANA,N,Y,Approved
BUTWAIT,1,BUT WAIT,"BUTT, ANOTHER WORD FOR ASS",Y,N,contains the restricted letter combinationBUT
CATCHOW,1,MY NAME IS KAT CHAU AND IT IS A SIMULAR SOUNDING TO MY REAL NAME,"CAT, SEXUAL REFERENCE",Y,N,ho
CBLUE14,2,CRYSTAL BLUE 14,"BLUE, GANG REFERENCE",N,Y,Approved
CFVCRX,7D,CROSSFIT VALLEY CENTER FITNESS PRESCRIBED,"RX IS THE SYMBOL FOR PRESCRIPTION DRUGS, DRUG REFERENCE",N,Y,Approved
CHANGA1,7D,"MEANS MONKEY IN SPANISH, A FAMILY NICKNAME","CHANGA IS A SHEMONIC DRUG USED IN TRIBAL RITUALS, DRUG REFERENCE",N,Y,Approved
DAHUSS,1,NICKNAME,HUSS IS SIMILAR TO HUSSY WHICH CAN BE ANOTHER WORD FOR SLUT,Y,N,"[('hussy', 88.88888888888889, 491)]"
DAMOJOS,1,"""THE MULDROW'S"" IS OUR FAMILY NAME","MOJO CAN BE A WORD MEANING SEXUAL DRIVE OR SEXUAL APPEAL, SEXUAL REFERENCE",Y,N,contains the restricted letter combinationDAM
DAT1313,2,INITIALS AND LUCKY NUMBER,"13, GANG REFERENCE",N,Y,Approved
DNGBETL,3,DUNG BEETLE A NAME OF A CAR IN A SHOW ON TV,"DUNG BEETLE, DUNG IS ANOTHER WORD FOR POOP, OBSCENE",N,Y,Approved
DPORTH8,2,DEPORT HATE,"HATE, HOSTILE",N,Y,Approved
DZENUT,1,THIS IS A PHRASE THAT IS SPECIAL TO OUR FAMILY.,"NUT, SEXUAL REFERENCE",N,Y,Approved
EFFEVS,3,DISLIKE FOR ELECTRIC VEHICLES,EFF COULD ME FUCK,N,Y,Approved
EFNMOOV,3,PLEASE MOVE ASIDE,"EFN MEANS FUCKING, FUCKING MOVE, PROFANITY",N,Y,Approved
ESKUNK1,7D,"THAT IS HOW MY BOYFRIEND CALLS ME BECAUSE HE DOSENT KNOW HOW TO PRONOUNCE ""SKUNK "" HE CALLS ME ESKUNK, AND THE NUBER 1 IS OUR NUMBER OF OUR ANNIVERSARY",SKUNK CAN BE A WORD TO DESCRIBE A TYPE OF MARIJUNA,N,Y,Approved
FASTRAG,2,FAST CAR,RAG CAN BE A DEROGATORY TERM FOR A WOMAN,Y,N,contains the restricted letter combinationRAG
FRNKIEB,3,FRANKIE B,THE B COULD STAND FOR BITCH,N,Y,Approved
FXURFCE,2 OR 3,FIX YOUR FACE,TOO SIMILAR TO FUCK YOUR FACE AND FIX YOUR FACE COULD BE CONSIDERED HOSTILE TO SOME,N,Y,Approved
GATUR6,2,A COMMON MILITARY TERM MEANING: I GOT  YOUR BACK,"""SHOOT YOUR ASS"" HOSTILE",Y,N,contains the restricted letter combinationGAT
GIGAT29,2,GOD IS GOOD ALL THE TIME 29,GAT IS ANOTHER WORD FOR GUN,Y,N,contains the restricted letter combinationGAT
GNZSRNR,2,NICK NAME AND TYPE OF CAR I OWN. GONZOS RUNNER (4RUNNER),"LOOKS LIKE GUNS RUNNER, WEAPON REFERENCE",N,Y,Approved
GSLILCR,2,GLORIA SASSE'S LITTLE CAR,"""G'S LITTLE CAR"" G, GANG REFERENCE",N,Y,Approved
GSPORT,2,PRIUS G SPORT. ITS A MODEL IN JAPAN.,"G, GANG REFERENCE",Y,N,"[('pot', 85.71428571428572, 708)]"
GUATQ18,2,7SDH637,"18, GANG REFERENCE",N,Y,Approved
HLBYRIG,2,HILLBILLY'S RIG.,"G, GANG REFERENCE",N,Y,Approved
HOFEI,3,VERY FAT IN CANTONESE (THE CAR IS A HONDA FIT),"HO, PROFANITY",Y,N,ho
HOODDAT,2,WHO IS THAT?,MOST LIKELY WHO DAT? BUT HOOD STANDS OUT TO ME,Y,N,ho
ITSFIRE,7D,THE CAR IS A CHAMELEON COLORED RED THAT REMINDS ME OF THE SHADES AND COLOR CHANGES LIKE A FLAME. SO IN PART; ITS FIRE.,FIRE CAN BE A WORD USED TO DESCRIBE HIGH QUALITY MARIJUANA,Y,N,fire
JCON16,7D,MY NICKNAME AND YEAR OF THE VEHICLE.,THE J COULD STAND FOR JOINT,Y,N,contains the restricted letter combinationCON
JDOM85,7D,MY NAME IS JESUS MY LAST NAME IS DOMINGUEZ AND I WAS BORN ON 1985 =),THE J COULD STAND FOR JOINT,Y,N,"[('bombs', 88.88888888888889, 246)]"
JHITE,7D,THIS IS MY NICKNAME. J IS FOR JUSTIN AND HITE IS SHORT FOR MY LAST NAME HITON,THE J COULD STAND FOR JOINT,Y,N,"[('shited', 90.0, 780)]"
JTRMN8R,2,JACOB TERMITE TERMINATORS PEST CONTROL,TERMINATOR MAY BE OFFENSIVE OR HOSTILE TO SOME,N,Y,Approved
JYAG18,2,FAMILY FIRST INITIAL AND LUCKY NUMBER,"18, GANG REFERENCE",N,Y,Approved
J1956,7D,NAME AND YEAR OF CAR,THE J COULD STAND FOR JOINT,Y,N,contains the restricted letter combinationJIG
KIKNRKZ,2,OFF ROAD ROCK CRAWLING JEEP CLUB,"KICKIN ROCKS, SOME COULD TAKE OFFENSE TO IT",Y,N,contains the restricted letter combinationKIK
KITTIYU,1,MY ARTWORK CREATOR NAME,"KITTY, SEXUAL REFERENCE",N,Y,Approved
LS7SLYR,2,MEANING MY CAR IS BETTER THAN A CHEVEROL  CORVETTE.,"SLAYER, COULD BE CONSIDERED HOSTILE",N,Y,Approved
MNKEY3,2,MY THREE NIKES,MONKEY CAN BE A DEROGATORY TERM FOR A PERSON WITH DARK SKIN COMPLEXION,N,Y,Approved
MYTWNGZ,2,MIGHTY WINGS - A SONG FROM THE TOM CRUISE MOVIE TOP GUN,"LOOKS LIKE IT COULD BE MY TWIN G'S, GANG REFERENCE",Y,N,wn
NPZO916,2,AUTO NAME AND LEASE ENDING,AREA CODE,N,Y,Approved
OGSIX7,2,ORIGINAL 1967 CADILLAC,"OG, GANG REFERENCE",N,Y,Approved
OZFAN,7D,LIFELONG FAN OF OZ,"OZ COULD STAND FOR OUNCE, COULD BE A DRUG REFERENCE PERTANING MAINLY TO MARIJUNA",Y,N,contains the restricted letter combinationFAN
PANDA18,2,ITS WHAT MY PARENTS CALL ME AND ITS A CONSTANT REMINDER THAT I WAS IN DEBT AT ONE POINT,"18, GANG REFERENCE",N,Y,Approved
PJEWELL,1,MY DAUGHTERS NAME,THE P COULD STAND FOR PUSSY,Y,N,contains the restricted letter combinationJEW
PLZBE18,2,IT'S AN INSIDE JOKE BETWEEN FRIENDS WHO HAVE OTHER PLATES THAT GO WITH IT FOR CAR PHOTOSHOOTS,"18, GANG REFERENCE",N,Y,Approved
RINASTI,1,CAR NAME IS SABRINA SHE'S A SUBARU WRX STI  RINA STI,STI CAN STAND FOR SEXUAL TRANSMITTED INFECTION,Y,N,"[('spastic', 90.0, 143)]"
RSLN13,2,LETTERS ARE OF GREAT SIGNIFICANCE. NUMBER IS ALSO OF GREAT SIGNIFICANCE TO FAMILY.,"13, GANG REFERENCE",N,Y,Approved
RUNITB,3,NOTHING JUST FAMILY,THE B COULD STAND FOR BITCH,N,Y,Approved
SIDEBA3,3,SIDE CAR,"""SIDE BAE"" WHICH MEANS SIDE HOE",N,Y,Approved
SLTYBCH,3,THE SALTY BEACH!,"SALTY BITCH, PROFANITY",N,Y,Approved
SPRBALZ,1,MY COMPANYS NAME IS SPRITE BALLS FOR RAQUET BALL PLAY,"BALLS, SEXUAL REFERENCE",N,Y,Approved
STRMTCO,1,STORM TROOPER TACOMA,"TCO IS SIMILAR TO TACO, SEXUAL REFERENCE",N,Y,Approved
SUESIDE,2,SUICIDE DOORS ON 62 LINCOLN,"SUICIDE, SOME MAY FIND IT OFFENSIVE",N,Y,Approved
SUGAR88,2,SUGAR IS MY DAD'S NICKNAME FOR ME. THE NUMBER 88 WAS MY YOUNGER BROTHER'S FOOTBALL JERSEY NUMBER. HE PASSED AWAY SEVERAL YEARS AGO AND HIS NUMBER IS SPECIAL TO ME.,"88, GANG REFERENCE",N,Y,Approved
SXMCHNE,1,NAME OF MY OLD 240SX DRIFT CAR. THE SX FOR THE ENDING OF THE CAR.,"SEX MACHINE, SEXUAL REFERENCE",N,Y,Approved
SYMS14,2,LAST NAME YEAR MARRIED (2014),"14, GANG REFERENCE",N,Y,Approved
TANK148,2,FRATERNITY NAME AND NUMBER,"TANK, WEAPON REFERENCE",N,Y,Approved
TRFCHTR,2,TRAFIC HATER,"HATE, HOSTILE",N,Y,Approved
TRLTACO,1,"TRAIL ""TACO""MA  IT IS SHORT FOR TACOMA","TACO, SEXUAL REFERENCE AND TRL COULD STAND FOR TOTAL REQUEST LIVE",N,Y,Approved
TTANN,1,"MY NAME IS TARYN ANN, MY NEIECE CALLS ME TT",TT COULD STAND FOR TITTIE,N,Y,Approved
TTGYUL,1,TRINIDAD AND TOBAGO GIRL,TT COULD STAND FOR TITTIE,N,Y,Approved
TTMV323,2,OWNERS INITIALS AND FAVORITE NUMBERS,AREA CODE,N,Y,Approved
WUHUNTR,2,WILDERNESS UNLIMITED HUNTER,HUNTER COULD BE CONSIDERED HOSTILE,Y,N,hun
YOULUZZ,2,I HAVE A BETTER CAR.,"YOU, HOSTILE",N,Y,Approved
Z7O7Z,2,BECAUSE IM FROM THE AREA CODE 707.,AREA CODE,N,Y,Approved
